OBJECTID,GRID_ID,pr,Shape__Area,Shape__Length
51,AZ-97,899.715881348,0.0183401491038495,0.555732203878467
52,BD-97,869.416320801,0.0183379819006788,0.555701819826762
53,AK-96,1106.915649414,0.0183573073196612,0.556168185401095
54,AL-96,1220.907714844,0.0183605580385802,0.55621370834998
55,AM-96,1233.260620117,0.0183635429549298,0.556255605540654
56,AN-96,1108.801269531,0.0183661163961659,0.556290983181039
57,AO-96,1017.383972168,0.0183686686178817,0.556326171267131
58,AP-96,899.012268066,0.0183712254018928,0.556361717614115
59,AQ-96,923.89642334,0.0183733685950642,0.556390750759065
60,AR-96,935.142272949,0.0183752366379508,0.556416542351323
61,AS-96,1148.593505859,0.0183770740413109,0.556442986766717
62,AT-96,1088.677856445,0.0183784936199913,0.556462292120211
63,AU-96,1098.183349609,0.0183797253136362,0.556479345966963
64,AV-96,1106.46875,0.018380325914805,0.556486477399341
65,AW-96,1109.413330078,0.0183811139417855,0.556498222952935
66,AX-96,1043.848876953,0.0183817241111797,0.556506832818841
67,AY-96,953.113037109,0.0183820405815496,0.55651079381323
68,AZ-96,908.318115234,0.0183822164838503,0.556513417495357
69,BA-96,897.450927734,0.0183816943099018,0.556504203734157
70,BB-96,907.04486084,0.0183815719179279,0.556503946930687
71,BC-96,875.925598145,0.018380887445332,0.556494698894835
72,BG-96,786.644775391,0.0183764526613537,0.55643378110479
73,BK-96,854.871520996,0.0183677545886453,0.556312780608183
74,BM-96,854.393249512,0.0183620985355608,0.55623437347264
75,AK-95,1304.055297852,0.0183993981279116,0.556952129696929
76,AL-95,1384.408447266,0.0184026001119122,0.556996564401903
77,AM-95,1221.717407227,0.0184055032108148,0.557036497098888
78,AN-95,1132.288208008,0.0184083715835044,0.557076279539287
79,AO-95,1077.947998047,0.0184109390685023,0.557110983518974
80,AP-95,1119.150146484,0.0184135422003351,0.557147699345451
81,AQ-95,1099.869140625,0.0184155355990043,0.557174940363292
82,AR-95,1017.900146484,0.0184174257134089,0.557201017247756
83,AS-95,1106.886230469,0.0184191170124564,0.557224323315725
84,AT-95,998.577819824,0.0184206696954448,0.557246836120909
85,AU-95,896.340942383,0.0184215879485521,0.557258986891818
86,AV-95,871.64654541,0.0184224602277965,0.557270081770233
