OBJECTID,GRID_ID,tas,Shape__Area,Shape__Length
1,AG-103,11.182330132,0.0180556126632183,0.550615121740357
2,AE-102,11.336595535,0.0180870291191866,0.551239779718525
3,AF-102,10.934439659,0.0180914338948241,0.551302017145762
4,AG-102,10.877043724,0.0180956654401569,0.551362478211251
5,AF-101,11.095445633,0.0181318060392357,0.552055255588526
6,AG-101,10.769411087,0.0181361217362195,0.552116122827697
7,AH-101,11.047495842,0.0181400715292597,0.552171780621607
8,AO-101,11.189249992,0.0181625331028954,0.552488634814474
9,AG-100,11.090023041,0.0181766530950256,0.552872418678741
10,AH-100,10.752083778,0.0181807628133583,0.552930011428563
11,AI-100,10.67982769,0.0181848214454874,0.552987366121189
12,AJ-100,10.928949356,0.0181883750895935,0.553037091609938
13,AK-100,10.811369896,0.0181918733849358,0.553087116898548
14,AN-100,10.783124924,0.0182006526660956,0.553210060512853
15,AO-100,10.59006691,0.0182033648932816,0.553247708175225
16,AP-100,10.889587402,0.0182058136776391,0.553282585445944
17,AH-99,11.1477108,0.0182217275775116,0.553693674609884
18,AI-99,10.709788322,0.0182256639573239,0.553749104877923
19,AJ-99,10.665822029,0.0182293362486519,0.553800291135336
20,AK-99,10.255749702,0.0182329336879974,0.553851120310218
21,AL-99,10.5388937,0.0182361073100736,0.553895500568765
22,AM-99,10.628596306,0.0182392140874015,0.553939619459115
23,AN-99,9.570967674,0.0182418797988788,0.553976311777559
24,AO-99,9.770235062,0.0182445114922984,0.554012884851342
25,AP-99,10.959924698,0.0182468261733675,0.554045538739152
26,AQ-99,11.292970657,0.0182486201211276,0.554070151673394
27,AI-98,11.17159462,0.0182669022054966,0.554517497118996
28,AJ-98,10.288697243,0.0182705700488555,0.554568662985718
29,AK-98,9.546104431,0.0182740413324893,0.554617010113981
30,AL-98,10.417808533,0.0182773879441953,0.554664202825752
31,AM-98,10.199123383,0.0182805214105599,0.554708263327502
32,AN-98,8.892448425,0.0182832688514054,0.554746254493995
33,AO-98,9.285419464,0.0182857744029832,0.554781394970301
34,AP-98,10.730763435,0.0182878764143624,0.554810576651194
35,AQ-98,10.756530762,0.0182897921664988,0.554836291554929
36,AZ-98,11.033506393,0.0182984061243658,0.554956197237782
37,AJ-97,10.358186722,0.0183121582540764,0.555343146807202
38,AK-97,10.168118477,0.0183154859371797,0.555389248645739
39,AL-97,10.51716423,0.0183188124128861,0.555436317129753
40,AM-97,10.270149231,0.0183218461217507,0.555479055316953
41,AN-97,8.942908287,0.0183244767798527,0.555515042030913
42,AO-97,9.75453949,0.0183270347206985,0.555551057385754
43,AP-97,10.195013046,0.0183292284315684,0.555580894652482
44,AQ-97,10.768322945,0.018331343164661,0.555609826332986
45,AR-97,10.670152664,0.0183333037118274,0.555637041030933
46,AU-97,10.943037987,0.0183377494093264,0.55569969778051
47,AV-97,10.264650345,0.0183385185295464,0.555709777251261
48,AW-97,10.444469452,0.0183391716342385,0.555718611422138
49,AX-97,10.722873688,0.0183397551624793,0.555726483613452
50,AY-97,10.902373314,0.0183401683268301,0.555732348873139
51,AZ-97,11.187758446,0.0183401491038495,0.555732203878467
52,BD-97,11.315964699,0.0183379819006788,0.555701819826762
53,AK-96,10.589866638,0.0183573073196612,0.556168185401095
54,AL-96,10.216618538,0.0183605580385802,0.55621370834998
55,AM-96,10.305494308,0.0183635429549298,0.556255605540654
56,AN-96,10.432201385,0.0183661163961659,0.556290983181039
57,AO-96,10.354737282,0.0183686686178817,0.556326171267131
58,AP-96,10.518123627,0.0183712254018928,0.556361717614115
59,AQ-96,10.522989273,0.0183733685950642,0.556390750759065
60,AR-96,10.53715992,0.0183752366379508,0.556416542351323
61,AS-96,10.147611618,0.0183770740413109,0.556442986766717
62,AT-96,10.648253441,0.0183784936199913,0.556462292120211
63,AU-96,10.432629585,0.0183797253136362,0.556479345966963
64,AV-96,9.768620491,0.018380325914805,0.556486477399341
65,AW-96,9.913107872,0.0183811139417855,0.556498222952935
66,AX-96,10.179779053,0.0183817241111797,0.556506832818841
67,AY-96,10.558298111,0.0183820405815496,0.55651079381323
68,AZ-96,10.766204834,0.0183822164838503,0.556513417495357
69,BA-96,10.695996284,0.0183816943099018,0.556504203734157
70,BB-96,10.721162796,0.0183815719179279,0.556503946930687
71,BC-96,11.222377777,0.018380887445332,0.556494698894835
72,BG-96,11.190030098,0.0183764526613537,0.55643378110479
73,BK-96,10.946146011,0.0183677545886453,0.556312780608183
74,BM-96,11.005041122,0.0183620985355608,0.55623437347264
75,AK-95,10.230319977,0.0183993981279116,0.556952129696929
76,AL-95,10.039651871,0.0184026001119122,0.556996564401903
77,AM-95,10.303212166,0.0184055032108148,0.557036497098888
78,AN-95,10.236232758,0.0184083715835044,0.557076279539287
79,AO-95,10.244203568,0.0184109390685023,0.557110983518974
80,AP-95,10.012166977,0.0184135422003351,0.557147699345451
81,AQ-95,10.272391319,0.0184155355990043,0.557174940363292
82,AR-95,10.371278763,0.0184174257134089,0.557201017247756
83,AS-95,9.948019981,0.0184191170124564,0.557224323315725
84,AT-95,10.447662354,0.0184206696954448,0.557246836120909
85,AU-95,10.84476757,0.0184215879485521,0.557258986891818
86,AV-95,10.66061306,0.0184224602277965,0.557270081770233
87,AW-95,10.459687233,0.018423545166435,0.557285974932439
88,AX-95,10.650783539,0.0184238557575469,0.557290143177095
89,AY-95,10.320128441,0.0184241124449258,0.557293643200022
90,AZ-95,10.387055397,0.0184242264966272,0.557294636288476
91,BA-95,10.432828903,0.0184238685381857,0.557289042967969
92,BB-95,10.582709312,0.0184235409197555,0.557285324042358
93,BC-95,11.429533005,0.0184229652595391,0.557277065846513
